# Generated: 2025-11-19T12:57:03.574Z
# Source page: https://tracinginsights.com/
# Event: São Paulo Grand Prix
# Session: Race
# Year: 2025
# Notes: Values are in SI units unless specified. Missing fields are empty.
# Status legend:
#   1 = Track Clear - Normal racing conditions
#   2 = Yellow Flag - Caution period, no overtaking in affected sector
#   4 = Safety Car - All cars follow safety car
#   5 = Red Flag - Session stopped, return to pits
#   6 = Virtual Safety Car - Maintain minimum lap time
#   7 = VSC Ending - Normal racing about to resume
# Options: fuelCorrection=off, includeAllColumns=on
# Drivers: NOR
LAP,NOR_TIME,NOR_POSITION,NOR_POSITION_CHANGE,NOR_COMPOUND,NOR_STINT,NOR_PITSTOP,NOR_TIRE_LIFE,NOR_S1,NOR_S2,NOR_S3,NOR_SECTOR_SUM,NOR_STATUS,NOR_PERSONAL_BEST
Lap number in the session,Lap time in seconds,Race position,Position change from previous lap (positive = gained positions),Tire compound used (SOFT/MEDIUM/HARD/INTERMEDIATE/WET),Stint number (continuous running on same tire set),Pitstop indicator (TRUE if driver pitted at start of this lap),Tire age in laps,Sector 1 time in seconds,Sector 2 time in seconds,Sector 3 time in seconds,Sum of sector times (S1+S2+S3) in seconds,"Track status code (1=Clear, 2=Yellow, 4=Safety Car, 5=Red Flag, 6=VSC, 7=VSC Ending)",Personal best lap indicator (TRUE if this is driver's fastest lap)
1,78.067,1,,MEDIUM,1,FALSE,1,,37.52,16.996,,12,FALSE
2,101.996,1,0,MEDIUM,1,FALSE,2,19.277,61.377,21.342,101.996,24,FALSE
3,114.6,1,0,MEDIUM,1,FALSE,3,24.166,63.091,27.343,114.60000000000001,4,FALSE
4,109.769,1,0,MEDIUM,1,FALSE,4,28.694,56.496,24.579,109.769,4,FALSE
5,123.59,1,0,MEDIUM,1,FALSE,5,27.021,61.768,34.801,123.59,41,FALSE
6,74.539,1,0,MEDIUM,1,FALSE,6,19.975,37.611,16.953,74.539,12,FALSE
7,100.233,1,0,MEDIUM,1,FALSE,7,22.058,54.232,23.943,100.23299999999999,26,FALSE
8,102.681,1,0,MEDIUM,1,FALSE,8,28.357,51.481,22.843,102.681,671,FALSE
9,73.489,1,0,MEDIUM,1,FALSE,9,19.287,37.303,16.899,73.489,1,FALSE
10,73.773,1,0,MEDIUM,1,FALSE,10,19.096,37.781,16.896,73.773,1,FALSE
11,74.357,1,0,MEDIUM,1,FALSE,11,19.227,38.133,16.997,74.357,1,FALSE
12,74.36,1,0,MEDIUM,1,FALSE,12,19.215,38.187,16.958,74.36,1,FALSE
13,74.631,1,0,MEDIUM,1,FALSE,13,19.322,38.274,17.035,74.631,1,FALSE
14,74.74,1,0,MEDIUM,1,FALSE,14,19.251,38.355,17.134,74.74,1,FALSE
15,74.572,1,0,MEDIUM,1,FALSE,15,19.236,38.247,17.089,74.572,1,FALSE
16,74.831,1,0,MEDIUM,1,FALSE,16,19.278,38.414,17.139,74.831,1,FALSE
17,74.771,1,0,MEDIUM,1,FALSE,17,19.279,38.315,17.177,74.77099999999999,1,FALSE
18,74.773,1,0,MEDIUM,1,FALSE,18,19.25,38.317,17.206,74.773,1,FALSE
19,74.807,1,0,MEDIUM,1,FALSE,19,19.317,38.271,17.219,74.807,1,FALSE
20,74.899,1,0,MEDIUM,1,FALSE,20,19.216,38.495,17.188,74.899,1,FALSE
21,74.642,1,0,MEDIUM,1,FALSE,21,19.126,38.383,17.133,74.642,1,FALSE
22,74.742,1,0,MEDIUM,1,FALSE,22,19.14,38.435,17.167,74.742,1,FALSE
23,74.85,1,0,MEDIUM,1,FALSE,23,19.213,38.456,17.181,74.85000000000001,1,FALSE
24,74.759,1,0,MEDIUM,1,FALSE,24,19.132,38.458,17.169,74.759,1,FALSE
25,74.977,1,0,MEDIUM,1,FALSE,25,19.213,38.527,17.237,74.977,1,FALSE
26,75.031,1,0,MEDIUM,1,FALSE,26,19.312,38.468,17.251,75.031,1,FALSE
27,74.801,1,0,MEDIUM,1,FALSE,27,19.209,38.398,17.194,74.801,1,FALSE
28,74.887,1,0,MEDIUM,1,FALSE,28,19.181,38.467,17.239,74.887,1,FALSE
29,74.685,1,0,MEDIUM,1,FALSE,29,19.185,38.259,17.241,74.685,1,FALSE
30,78.72,1,0,MEDIUM,1,FALSE,30,19.145,38.464,21.111,78.72,1,FALSE
31,92.876,4,-3,SOFT,2,TRUE,4,37.743,38.344,16.789,92.876,1,FALSE
32,74.233,3,1,SOFT,2,FALSE,5,19.086,38.333,16.814,74.233,1,FALSE
33,74.187,3,0,SOFT,2,FALSE,6,18.974,38.31,16.903,74.18700000000001,1,FALSE
34,74.217,2,1,SOFT,2,FALSE,7,18.971,38.151,17.095,74.217,1,FALSE
35,74.147,2,0,SOFT,2,FALSE,8,19.039,38.135,16.973,74.14699999999999,1,FALSE
36,73.968,2,0,SOFT,2,FALSE,9,19.062,37.888,17.018,73.968,1,FALSE
37,74.187,2,0,SOFT,2,FALSE,10,19.192,38.012,16.983,74.187,1,FALSE
38,74.275,2,0,SOFT,2,FALSE,11,19.055,38.216,17.004,74.275,1,FALSE
39,74.304,1,1,SOFT,2,FALSE,12,19.017,38.243,17.044,74.304,1,FALSE
40,74.355,1,0,SOFT,2,FALSE,13,19.011,38.279,17.065,74.355,1,FALSE
41,74.495,1,0,SOFT,2,FALSE,14,19.162,38.231,17.102,74.495,1,FALSE
42,74.493,1,0,SOFT,2,FALSE,15,19.16,38.24,17.093,74.49300000000001,1,FALSE
43,74.434,1,0,SOFT,2,FALSE,16,19.045,38.214,17.175,74.434,1,FALSE
44,74.371,1,0,SOFT,2,FALSE,17,19.165,38.096,17.11,74.371,1,FALSE
45,74.431,1,0,SOFT,2,FALSE,18,19.107,38.247,17.077,74.431,1,FALSE
46,74.452,1,0,SOFT,2,FALSE,19,19.068,38.313,17.071,74.452,1,FALSE
47,74.51,1,0,SOFT,2,FALSE,20,19.056,38.356,17.098,74.51,1,FALSE
48,74.386,1,0,SOFT,2,FALSE,21,19.165,38.15,17.071,74.386,1,FALSE
49,74.379,1,0,SOFT,2,FALSE,22,19.041,38.169,17.169,74.37899999999999,1,FALSE
50,77.963,1,0,SOFT,2,FALSE,23,18.936,38.103,20.924,77.963,1,FALSE
51,92.381,3,-2,MEDIUM,3,TRUE,10,37.35,38.256,16.775,92.381,1,FALSE
52,73.632,2,1,MEDIUM,3,FALSE,11,18.911,37.914,16.807,73.632,1,FALSE
53,73.611,2,0,MEDIUM,3,FALSE,12,18.852,37.936,16.823,73.61099999999999,1,FALSE
54,73.471,2,0,MEDIUM,3,FALSE,13,18.829,37.802,16.84,73.471,1,FALSE
55,73.808,1,1,MEDIUM,3,FALSE,14,18.95,37.898,16.96,73.80799999999999,1,FALSE
56,73.371,1,0,MEDIUM,3,FALSE,15,18.833,37.71,16.828,73.371,1,FALSE
57,73.356,1,0,MEDIUM,3,FALSE,16,18.762,37.691,16.903,73.356,1,FALSE
58,73.35,1,0,MEDIUM,3,FALSE,17,18.789,37.652,16.909,73.35,1,FALSE
59,73.596,1,0,MEDIUM,3,FALSE,18,18.9,37.758,16.938,73.596,1,FALSE
60,73.526,1,0,MEDIUM,3,FALSE,19,19.013,37.605,16.908,73.526,1,FALSE
61,73.447,1,0,MEDIUM,3,FALSE,20,18.844,37.662,16.941,73.447,1,FALSE
62,73.689,1,0,MEDIUM,3,FALSE,21,18.866,37.886,16.937,73.68900000000001,1,FALSE
63,73.211,1,0,MEDIUM,3,FALSE,22,18.929,37.369,16.913,73.211,1,FALSE
64,73.177,1,0,MEDIUM,3,FALSE,23,18.889,37.444,16.844,73.17699999999999,1,FALSE
