# Generated: 2025-12-06T17:27:33.775Z
# Source page: https://tracinginsights.com/
# Event: Abu Dhabi Grand Prix
# Session: Practice 1
# Year: 2025
# Notes: Values are in SI units unless specified. Missing fields are empty.
# Status legend:
#   1 = Track Clear - Normal racing conditions
#   2 = Yellow Flag - Caution period, no overtaking in affected sector
#   4 = Safety Car - All cars follow safety car
#   5 = Red Flag - Session stopped, return to pits
#   6 = Virtual Safety Car - Maintain minimum lap time
#   7 = VSC Ending - Normal racing about to resume
# Options: fuelCorrection=off, includeAllColumns=on
# Drivers: VER, NOR
LAP,VER_TIME,VER_POSITION,VER_POSITION_CHANGE,VER_COMPOUND,VER_STINT,VER_PITSTOP,VER_TIRE_LIFE,VER_S1,VER_S2,VER_S3,VER_SECTOR_SUM,VER_STATUS,VER_PERSONAL_BEST,NOR_TIME,NOR_POSITION,NOR_POSITION_CHANGE,NOR_COMPOUND,NOR_STINT,NOR_PITSTOP,NOR_TIRE_LIFE,NOR_S1,NOR_S2,NOR_S3,NOR_SECTOR_SUM,NOR_STATUS,NOR_PERSONAL_BEST
Lap number in the session,Lap time in seconds,Race position,Position change from previous lap (positive = gained positions),Tire compound used (SOFT/MEDIUM/HARD/INTERMEDIATE/WET),Stint number (continuous running on same tire set),Pitstop indicator (TRUE if driver pitted at start of this lap),Tire age in laps,Sector 1 time in seconds,Sector 2 time in seconds,Sector 3 time in seconds,Sum of sector times (S1+S2+S3) in seconds,"Track status code (1=Clear, 2=Yellow, 4=Safety Car, 5=Red Flag, 6=VSC, 7=VSC Ending)",Personal best lap indicator (TRUE if this is driver's fastest lap),Lap time in seconds,Race position,Position change from previous lap (positive = gained positions),Tire compound used (SOFT/MEDIUM/HARD/INTERMEDIATE/WET),Stint number (continuous running on same tire set),Pitstop indicator (TRUE if driver pitted at start of this lap),Tire age in laps,Sector 1 time in seconds,Sector 2 time in seconds,Sector 3 time in seconds,Sum of sector times (S1+S2+S3) in seconds,"Track status code (1=Clear, 2=Yellow, 4=Safety Car, 5=Red Flag, 6=VSC, 7=VSC Ending)",Personal best lap indicator (TRUE if this is driver's fastest lap)
1,,,,HARD,1,FALSE,1,,42.784,46.09,,1,FALSE,,,,MEDIUM,1,FALSE,1,,43.255,43.844,,1,FALSE
2,87.13,,,HARD,1,FALSE,2,17.582,37.242,32.306,87.13,1,FALSE,87.888,,,MEDIUM,1,FALSE,2,18.009,37.975,31.904,87.888,1,FALSE
3,,,,HARD,1,FALSE,3,37.283,79.416,52.161,168.86,12,FALSE,147.605,,,MEDIUM,1,FALSE,3,25.733,66.764,55.108,147.605,12,FALSE
4,85.984,,,HARD,1,FALSE,4,17.614,36.926,31.444,85.98400000000001,1,FALSE,85.764,,,MEDIUM,1,FALSE,4,17.595,36.971,31.198,85.764,1,FALSE
5,129.88,,,HARD,1,FALSE,5,32.688,50.355,46.837,129.88,1,FALSE,138.244,,,MEDIUM,1,FALSE,5,28.393,61.004,48.847,138.244,1,FALSE
6,145.579,,,HARD,2,TRUE,6,48.447,49.68,47.452,145.579,1,FALSE,149.466,,,MEDIUM,2,TRUE,6,56.103,54.461,38.902,149.466,1,FALSE
7,85.468,,,HARD,2,FALSE,7,17.445,36.745,31.278,85.46799999999999,1,FALSE,85.454,,,MEDIUM,2,FALSE,7,17.465,37.014,30.975,85.45400000000001,1,FALSE
8,118.887,,,HARD,2,FALSE,8,26.017,50.409,42.461,118.887,1,FALSE,93.189,,,MEDIUM,2,FALSE,8,22.166,38.817,32.206,93.18900000000001,1,FALSE
9,,,,SOFT,3,TRUE,1,,53.595,43.468,,1,FALSE,87.302,,,MEDIUM,2,FALSE,9,17.658,37.743,31.901,87.302,1,FALSE
