# Generated: 2025-12-06T17:28:47.405Z
# Source page: https://tracinginsights.com/
# Event: Abu Dhabi Grand Prix
# Session: Practice 2
# Year: 2025
# Notes: Values are in SI units unless specified. Missing fields are empty.
# Status legend:
#   1 = Track Clear - Normal racing conditions
#   2 = Yellow Flag - Caution period, no overtaking in affected sector
#   4 = Safety Car - All cars follow safety car
#   5 = Red Flag - Session stopped, return to pits
#   6 = Virtual Safety Car - Maintain minimum lap time
#   7 = VSC Ending - Normal racing about to resume
# Options: fuelCorrection=off, includeAllColumns=on
# Drivers: NOR, PIA, VER
LAP,NOR_TIME,NOR_POSITION,NOR_POSITION_CHANGE,NOR_COMPOUND,NOR_STINT,NOR_PITSTOP,NOR_TIRE_LIFE,NOR_S1,NOR_S2,NOR_S3,NOR_SECTOR_SUM,NOR_STATUS,NOR_PERSONAL_BEST,PIA_TIME,PIA_POSITION,PIA_POSITION_CHANGE,PIA_COMPOUND,PIA_STINT,PIA_PITSTOP,PIA_TIRE_LIFE,PIA_S1,PIA_S2,PIA_S3,PIA_SECTOR_SUM,PIA_STATUS,PIA_PERSONAL_BEST,VER_TIME,VER_POSITION,VER_POSITION_CHANGE,VER_COMPOUND,VER_STINT,VER_PITSTOP,VER_TIRE_LIFE,VER_S1,VER_S2,VER_S3,VER_SECTOR_SUM,VER_STATUS,VER_PERSONAL_BEST
Lap number in the session,Lap time in seconds,Race position,Position change from previous lap (positive = gained positions),Tire compound used (SOFT/MEDIUM/HARD/INTERMEDIATE/WET),Stint number (continuous running on same tire set),Pitstop indicator (TRUE if driver pitted at start of this lap),Tire age in laps,Sector 1 time in seconds,Sector 2 time in seconds,Sector 3 time in seconds,Sum of sector times (S1+S2+S3) in seconds,"Track status code (1=Clear, 2=Yellow, 4=Safety Car, 5=Red Flag, 6=VSC, 7=VSC Ending)",Personal best lap indicator (TRUE if this is driver's fastest lap),Lap time in seconds,Race position,Position change from previous lap (positive = gained positions),Tire compound used (SOFT/MEDIUM/HARD/INTERMEDIATE/WET),Stint number (continuous running on same tire set),Pitstop indicator (TRUE if driver pitted at start of this lap),Tire age in laps,Sector 1 time in seconds,Sector 2 time in seconds,Sector 3 time in seconds,Sum of sector times (S1+S2+S3) in seconds,"Track status code (1=Clear, 2=Yellow, 4=Safety Car, 5=Red Flag, 6=VSC, 7=VSC Ending)",Personal best lap indicator (TRUE if this is driver's fastest lap),Lap time in seconds,Race position,Position change from previous lap (positive = gained positions),Tire compound used (SOFT/MEDIUM/HARD/INTERMEDIATE/WET),Stint number (continuous running on same tire set),Pitstop indicator (TRUE if driver pitted at start of this lap),Tire age in laps,Sector 1 time in seconds,Sector 2 time in seconds,Sector 3 time in seconds,Sum of sector times (S1+S2+S3) in seconds,"Track status code (1=Clear, 2=Yellow, 4=Safety Car, 5=Red Flag, 6=VSC, 7=VSC Ending)",Personal best lap indicator (TRUE if this is driver's fastest lap)
1,,,,MEDIUM,1,FALSE,1,,47.186,43.233,,1,FALSE,,,,MEDIUM,1,FALSE,1,,41.733,38.462,,1,FALSE,,,,MEDIUM,1,FALSE,1,,47.268,41.761,,1,FALSE
2,104.327,,,MEDIUM,1,FALSE,2,19.914,48.647,35.766,104.327,1,FALSE,85.492,,,MEDIUM,1,FALSE,2,17.491,36.916,31.085,85.49199999999999,1,FALSE,84.798,,,MEDIUM,1,FALSE,2,17.391,36.634,30.773,84.798,1,FALSE
3,85.207,,,MEDIUM,1,FALSE,3,18.144,36.579,30.484,85.207,1,FALSE,135.673,,,MEDIUM,1,FALSE,3,28.846,62.074,44.753,135.673,1,FALSE,,,,MEDIUM,1,FALSE,3,37.98,74.708,48.968,161.656,1,FALSE
4,132.895,,,MEDIUM,1,FALSE,4,24.729,59.519,48.647,132.89499999999998,1,FALSE,85.098,,,MEDIUM,1,FALSE,4,17.409,36.902,30.787,85.098,1,FALSE,84.553,,,MEDIUM,1,FALSE,4,17.306,36.561,30.686,84.553,1,FALSE
5,130.047,,,MEDIUM,1,FALSE,5,28.528,51.155,50.364,130.047,1,FALSE,134.333,,,MEDIUM,1,FALSE,5,29.016,59.657,45.66,134.333,1,FALSE,,,,MEDIUM,1,FALSE,5,36.281,64.85,51.642,152.773,1,FALSE
6,100.151,,,MEDIUM,1,FALSE,6,17.347,38.324,44.48,100.151,1,FALSE,133.159,,,MEDIUM,1,FALSE,6,29.036,53.06,51.063,133.159,1,FALSE,115.298,,,MEDIUM,1,FALSE,6,25.394,46.952,42.952,115.298,1,FALSE
7,125.067,,,MEDIUM,1,FALSE,7,22.284,56.231,46.552,125.06700000000001,1,FALSE,84.434,,,MEDIUM,1,FALSE,7,17.33,36.563,30.541,84.434,1,FALSE,84.399,,,MEDIUM,1,FALSE,7,17.238,36.393,30.768,84.399,1,FALSE
8,84.292,,,MEDIUM,1,FALSE,8,17.323,36.543,30.426,84.292,1,FALSE,137.494,,,MEDIUM,1,FALSE,8,27.853,63.749,45.892,137.494,1,FALSE,109.591,,,MEDIUM,1,FALSE,8,22.055,45.654,41.882,109.59100000000001,1,FALSE
9,114.302,,,MEDIUM,1,FALSE,9,22.034,46.254,46.014,114.30199999999999,1,FALSE,111.924,,,MEDIUM,1,FALSE,9,24.417,48.682,38.825,111.924,1,FALSE,,,,SOFT,2,TRUE,1,,51.579,49.253,,1,FALSE
10,,,,SOFT,2,TRUE,1,,47.754,40.044,,1,FALSE,90.283,,,MEDIUM,1,FALSE,10,17.314,36.783,36.186,90.283,1,FALSE,83.446,,,SOFT,2,FALSE,2,17.153,36.093,30.2,83.446,1,TRUE
11,83.083,,,SOFT,2,FALSE,2,16.998,36.181,29.904,83.083,1,TRUE,,,,SOFT,2,TRUE,1,,43.679,43.922,,1,FALSE,109.305,,,SOFT,2,FALSE,3,27.843,42.358,39.104,109.30499999999999,1,FALSE
12,139.142,,,SOFT,2,FALSE,3,26.065,62.556,50.521,139.142,1,FALSE,83.763,,,SOFT,2,FALSE,2,17.15,36.377,30.236,83.763,1,TRUE,,,,MEDIUM,3,TRUE,9,,40.915,33.614,,1,FALSE
13,147.977,,,SOFT,3,TRUE,4,50.462,54.637,42.878,147.977,1,FALSE,133.061,,,SOFT,2,FALSE,3,29.187,56.519,47.355,133.061,1,FALSE,89.583,,,MEDIUM,3,FALSE,10,18.193,38.417,32.973,89.583,1,FALSE
14,83.411,,,SOFT,3,FALSE,5,17.065,36.192,30.154,83.411,1,FALSE,,,,SOFT,3,TRUE,4,55.147,55.537,39.763,150.447,1,FALSE,89.324,,,MEDIUM,3,FALSE,11,18.213,38.258,32.853,89.32400000000001,1,FALSE
15,94.838,,,SOFT,3,FALSE,6,18.113,40.587,36.138,94.838,1,FALSE,83.842,,,SOFT,3,FALSE,5,17.12,36.585,30.137,83.842,1,FALSE,89.322,,,MEDIUM,3,FALSE,12,18.13,38.304,32.888,89.322,1,FALSE
16,,,,MEDIUM,4,TRUE,10,,38.832,33.146,,1,FALSE,110.437,,,SOFT,3,FALSE,6,21.264,49.985,39.188,110.437,1,FALSE,89.297,,,MEDIUM,3,FALSE,13,18.059,38.35,32.888,89.297,1,FALSE
17,89.429,,,MEDIUM,4,FALSE,11,18.263,38.419,32.747,89.429,1,FALSE,,,,MEDIUM,4,TRUE,11,,46.587,33.497,,1,FALSE,89.241,,,MEDIUM,3,FALSE,14,18.173,38.363,32.705,89.241,1,FALSE
18,89.103,,,MEDIUM,4,FALSE,12,18.118,38.451,32.534,89.10300000000001,1,FALSE,89.813,,,MEDIUM,4,FALSE,12,18.398,38.6,32.815,89.813,1,FALSE,89.232,,,MEDIUM,3,FALSE,15,18.161,38.324,32.747,89.232,1,FALSE
19,89.293,,,MEDIUM,4,FALSE,13,18.093,38.576,32.624,89.293,1,FALSE,90.338,,,MEDIUM,4,FALSE,13,18.483,38.797,33.058,90.338,1,FALSE,89.269,,,MEDIUM,3,FALSE,16,18.163,38.316,32.79,89.269,1,FALSE
20,89.093,,,MEDIUM,4,FALSE,14,18.142,38.421,32.53,89.093,1,FALSE,89.684,,,MEDIUM,4,FALSE,14,18.397,38.507,32.78,89.684,1,FALSE,89.495,,,MEDIUM,3,FALSE,17,18.095,38.493,32.907,89.495,1,FALSE
21,89.372,,,MEDIUM,4,FALSE,15,18.078,38.548,32.746,89.37200000000001,1,FALSE,89.256,,,MEDIUM,4,FALSE,15,18.05,38.514,32.692,89.256,1,FALSE,89.505,,,MEDIUM,3,FALSE,18,18.127,38.505,32.873,89.505,1,FALSE
22,89.452,,,MEDIUM,4,FALSE,16,18.237,38.567,32.648,89.452,1,FALSE,89.512,,,MEDIUM,4,FALSE,16,18.254,38.376,32.882,89.512,1,FALSE,89.557,,,MEDIUM,3,FALSE,19,18.106,38.563,32.888,89.557,1,FALSE
23,89.095,,,MEDIUM,4,FALSE,17,17.954,38.507,32.634,89.095,1,FALSE,93.346,,,MEDIUM,4,FALSE,17,18.081,40.965,34.3,93.346,1,FALSE,89.787,,,MEDIUM,3,FALSE,20,18.107,38.602,33.078,89.787,1,FALSE
24,89.322,,,MEDIUM,4,FALSE,18,17.971,38.631,32.72,89.322,1,FALSE,89.841,,,MEDIUM,4,FALSE,18,18.039,38.598,33.204,89.84100000000001,1,FALSE,89.971,,,MEDIUM,3,FALSE,21,18.097,38.643,33.231,89.971,1,FALSE
25,91.65,,,MEDIUM,4,FALSE,19,18.019,38.723,34.908,91.65,1,FALSE,92.147,,,MEDIUM,4,FALSE,19,18.142,38.65,35.355,92.14699999999999,1,FALSE,90.212,,,MEDIUM,3,FALSE,22,18.064,38.756,33.392,90.212,1,FALSE
26,111.749,,,SOFT,5,TRUE,7,40.755,38.632,32.362,111.749,1,FALSE,109.192,,,SOFT,5,TRUE,7,37.889,38.66,32.643,109.19200000000001,1,FALSE,90.432,,,MEDIUM,3,FALSE,23,18.097,38.88,33.455,90.432,1,FALSE
